api_wall_time_ms,attempt_id,attempt_number,cache_write_tokens,cached_input_tokens,corpus_snapshot_id,cost_reconciliation_status,coverage_stratum,embedding_cost_usd,error_class,error_code,experiment_id,http_status,input_tokens,max_output_tokens,max_web_tool_calls_requested,model_config_id,model_cost_usd,openai_processing_ms,operational_identifiers_redacted,output_tokens,previous_response_id_used,price_version,prompt_version,protocol_version,provider_created_at_utc,query_embedding_tokens,question_hash,question_id,randomization_block,reasoning_effort,reasoning_tokens,reconciled_cost_usd,repetition,requested_model,retrieval_config_version,retry_cost_usd,retry_number,retryable,returned_model,run_id,sampling_parameters,schema_version,schema_version_response,search_content_tokens,service_tier_requested,service_tier_used,standardized_uncached_cost_usd,store,streaming,system_arm,text_verbosity,time_to_first_token_ms,total_estimated_cost_usd,total_tokens,utc_finished,utc_started,web_config_version,web_search_cost_usd,web_search_time_ms,web_search_tool_calls
10471.499359002337,attempt-412fd93896dc9645e397114b,1,0,0,cs-f61b3d4e90089c1b890c23cb,not_reconciled_admin_key_not_required,covered_by_local_corpus,0.0,,,rag_vs_web_main,200,7686,6000,,gpt55_medium,0.06063,402.0,True,740,False,openai-public-prices-2026-08-29-v2-cap-500,rag-vs-web-common-task-v1,rag-vs-web-1.1.0,2026-08-29T16:45:04Z,0,1c82a7ea7e8ec2f73f11a6c5bbad3e20728f4f3ffa917281d5116d5c81ff44ff,study-q-001,40,medium,221,,1_primary,gpt-5.5-2026-04-23,phase1-hybrid-rrf-bridge-frozen-v1,0.0,0,False,gpt-5.5-2026-04-23,rag-vs-web-1.1.0:1_primary:study-q-001:gpt55_medium:RAG,"{""temperature"": ""not_set"", ""top_logprobs"": ""not_set"", ""top_p"": ""not_set""}",api-attempt-1.1.0,rag-vs-web-response-v1,,default,default,0.06063,False,True,RAG,medium,4755.4180399747565,0.06063,8426,2026-08-29T16:45:14.503072Z,2026-08-29T16:45:04.030505Z,live-web-search-frozen-v1,0.0,,0
24114.148220047355,attempt-89ec92e461c257dc25f04174,1,0,4608,cs-f61b3d4e90089c1b890c23cb,not_reconciled_admin_key_not_required,covered_by_local_corpus,0.0,,,rag_vs_web_main,200,11652,6000,6,gpt55_medium,0.086874,254.0,True,1645,False,openai-public-prices-2026-08-29-v2-cap-500,rag-vs-web-common-task-v1,rag-vs-web-1.1.0,2026-08-29T16:44:38Z,0,1c82a7ea7e8ec2f73f11a6c5bbad3e20728f4f3ffa917281d5116d5c81ff44ff,study-q-001,40,medium,694,,1_primary,gpt-5.5-2026-04-23,phase1-hybrid-rrf-bridge-frozen-v1,0.0,0,False,gpt-5.5-2026-04-23,rag-vs-web-1.1.0:1_primary:study-q-001:gpt55_medium:WEB,"{""temperature"": ""not_set"", ""top_logprobs"": ""not_set"", ""top_p"": ""not_set""}",api-attempt-1.1.0,rag-vs-web-response-v1,,default,default,0.11760999999999999,False,True,WEB,medium,13659.618862089701,0.096874,13297,2026-08-29T16:45:03.404864Z,2026-08-29T16:44:39.291094Z,live-web-search-frozen-v1,0.01,3308.21653699968,1
8776.547192013822,attempt-b159f7598b2e638dd605fa36,1,7683,0,cs-f61b3d4e90089c1b890c23cb,not_reconciled_admin_key_not_required,covered_by_local_corpus,0.0,,,rag_vs_web_main,200,7686,6000,,gpt56_sol_high,0.051187,240.0,True,638,False,openai-public-prices-2026-08-29-v2-cap-500,rag-vs-web-common-task-v1,rag-vs-web-1.1.0,2026-08-29T16:45:14Z,0,1c82a7ea7e8ec2f73f11a6c5bbad3e20728f4f3ffa917281d5116d5c81ff44ff,study-q-001,40,high,313,,1_primary,gpt-5.6-sol,phase1-hybrid-rrf-bridge-frozen-v1,0.0,0,False,gpt-5.6-sol,rag-vs-web-1.1.0:1_primary:study-q-001:gpt56_sol_high:RAG,"{""temperature"": ""not_set"", ""top_logprobs"": ""not_set"", ""top_p"": ""not_set""}",api-attempt-1.1.0,rag-vs-web-response-v1,,default,default,0.043504,False,True,RAG,medium,4633.229795028456,0.051187,8324,2026-08-29T16:45:23.892592Z,2026-08-29T16:45:15.115056Z,live-web-search-frozen-v1,0.0,,0
17459.43826797884,attempt-2dc66607ee3ebd2a1504a250,1,35,5104,cs-f61b3d4e90089c1b890c23cb,not_reconciled_admin_key_not_required,covered_by_local_corpus,0.0,,,rag_vs_web_main,200,13617,6000,6,gpt56_sol_high,0.0605486,340.0,True,1221,False,openai-public-prices-2026-08-29-v2-cap-500,rag-vs-web-common-task-v1,rag-vs-web-1.1.0,2026-08-29T16:45:23Z,0,1c82a7ea7e8ec2f73f11a6c5bbad3e20728f4f3ffa917281d5116d5c81ff44ff,study-q-001,40,high,724,,1_primary,gpt-5.6-sol,phase1-hybrid-rrf-bridge-frozen-v1,0.0,0,False,gpt-5.6-sol,rag-vs-web-1.1.0:1_primary:study-q-001:gpt56_sol_high:WEB,"{""temperature"": ""not_set"", ""top_logprobs"": ""not_set"", ""top_p"": ""not_set""}",api-attempt-1.1.0,rag-vs-web-response-v1,,default,default,0.088888,False,True,WEB,medium,11626.964929047972,0.0705486,14838,2026-08-29T16:45:41.584963Z,2026-08-29T16:45:24.126174Z,live-web-search-frozen-v1,0.01,3471.0554799530655,1
17340.723066939972,attempt-e73d4d6cc8b7f92d2b47b035,1,0,0,cs-f61b3d4e90089c1b890c23cb,not_reconciled_admin_key_not_required,covered_by_local_corpus,0.0,,,rag_vs_web_main,200,4205,6000,,gpt55_medium,0.065395,646.0,True,1479,False,openai-public-prices-2026-08-29-v2-cap-500,rag-vs-web-common-task-v1,rag-vs-web-1.1.0,2026-08-29T16:49:57Z,0,2db8d8ad36fd568ed3867a0af40db27088edafb75c960cf1f07790383f2717e0,study-q-002,45,medium,516,,1_primary,gpt-5.5-2026-04-23,phase1-hybrid-rrf-bridge-frozen-v1,0.0,0,False,gpt-5.5-2026-04-23,rag-vs-web-1.1.0:1_primary:study-q-002:gpt55_medium:RAG,"{""temperature"": ""not_set"", ""top_logprobs"": ""not_set"", ""top_p"": ""not_set""}",api-attempt-1.1.0,rag-vs-web-response-v1,,default,default,0.065395,False,True,RAG,medium,7993.9551539719105,0.065395,5684,2026-08-29T16:50:14.291027Z,2026-08-29T16:49:56.949157Z,live-web-search-frozen-v1,0.0,,0
21930.42771203909,attempt-fad15886d78341215651bde0,1,0,4608,cs-f61b3d4e90089c1b890c23cb,not_reconciled_admin_key_not_required,covered_by_local_corpus,0.0,,,rag_vs_web_main,200,11425,6000,6,gpt55_medium,0.084239,218.0,True,1595,False,openai-public-prices-2026-08-29-v2-cap-500,rag-vs-web-common-task-v1,rag-vs-web-1.1.0,2026-08-29T16:49:33Z,0,2db8d8ad36fd568ed3867a0af40db27088edafb75c960cf1f07790383f2717e0,study-q-002,45,medium,632,,1_primary,gpt-5.5-2026-04-23,phase1-hybrid-rrf-bridge-frozen-v1,0.0,0,False,gpt-5.5-2026-04-23,rag-vs-web-1.1.0:1_primary:study-q-002:gpt55_medium:WEB,"{""temperature"": ""not_set"", ""top_logprobs"": ""not_set"", ""top_p"": ""not_set""}",api-attempt-1.1.0,rag-vs-web-response-v1,,default,default,0.114975,False,True,WEB,medium,10472.507086000405,0.09423899999999999,13020,2026-08-29T16:49:56.340063Z,2026-08-29T16:49:34.409351Z,live-web-search-frozen-v1,0.01,5213.873635046184,1
13992.36530798953,attempt-9a15a2ac76898e6ab83636d1,1,4202,0,cs-f61b3d4e90089c1b890c23cb,not_reconciled_admin_key_not_required,covered_by_local_corpus,0.0,,,rag_vs_web_main,200,4205,6000,,gpt56_sol_high,0.045422,236.0,True,1220,False,openai-public-prices-2026-08-29-v2-cap-500,rag-vs-web-common-task-v1,rag-vs-web-1.1.0,2026-08-29T16:50:14Z,0,2db8d8ad36fd568ed3867a0af40db27088edafb75c960cf1f07790383f2717e0,study-q-002,45,high,516,,1_primary,gpt-5.6-sol,phase1-hybrid-rrf-bridge-frozen-v1,0.0,0,False,gpt-5.6-sol,rag-vs-web-1.1.0:1_primary:study-q-002:gpt56_sol_high:RAG,"{""temperature"": ""not_set"", ""top_logprobs"": ""not_set"", ""top_p"": ""not_set""}",api-attempt-1.1.0,rag-vs-web-response-v1,,default,default,0.04122,False,True,RAG,medium,7893.688153009862,0.045422,5425,2026-08-29T16:50:28.888039Z,2026-08-29T16:50:14.895832Z,live-web-search-frozen-v1,0.0,,0
40038.963761064224,attempt-4aa28ebb13bacfa8b6e59d1a,1,35,5104,cs-f61b3d4e90089c1b890c23cb,not_reconciled_admin_key_not_required,covered_by_local_corpus,0.0,,,rag_vs_web_main,200,45292,6000,6,gpt56_sol_high,0.2234286,319.0,True,3030,False,openai-public-prices-2026-08-29-v2-cap-500,rag-vs-web-common-task-v1,rag-vs-web-1.1.0,2026-08-29T16:50:28Z,0,2db8d8ad36fd568ed3867a0af40db27088edafb75c960cf1f07790383f2717e0,study-q-002,45,high,2276,,1_primary,gpt-5.6-sol,phase1-hybrid-rrf-bridge-frozen-v1,0.0,0,False,gpt-5.6-sol,rag-vs-web-1.1.0:1_primary:study-q-002:gpt56_sol_high:WEB,"{""temperature"": ""not_set"", ""top_logprobs"": ""not_set"", ""top_p"": ""not_set""}",api-attempt-1.1.0,rag-vs-web-response-v1,,default,default,0.291768,False,True,WEB,medium,32759.904747013934,0.2734286,48322,2026-08-29T16:51:09.184855Z,2026-08-29T16:50:29.145900Z,live-web-search-frozen-v1,0.05,12664.12784717977,5
15830.86570899468,attempt-1d95dae0101f220751077e65,1,0,0,cs-f61b3d4e90089c1b890c23cb,not_reconciled_admin_key_not_required,covered_by_local_corpus,0.0,,,rag_vs_web_main,200,7310,6000,,gpt55_medium,0.0754,226.0,True,1295,False,openai-public-prices-2026-08-29-v2-cap-500,rag-vs-web-common-task-v1,rag-vs-web-1.1.0,2026-08-29T16:13:43Z,0,5b0734a147aee15a0c9212e33b3e1d69d13aadffe5c43a0bcbb4cbd75b57b580,study-q-003,11,medium,516,,1_primary,gpt-5.5-2026-04-23,phase1-hybrid-rrf-bridge-frozen-v1,0.0,0,False,gpt-5.5-2026-04-23,rag-vs-web-1.1.0:1_primary:study-q-003:gpt55_medium:RAG,"{""temperature"": ""not_set"", ""top_logprobs"": ""not_set"", ""top_p"": ""not_set""}",api-attempt-1.1.0,rag-vs-web-response-v1,,default,default,0.0754,False,True,RAG,medium,7784.714082023129,0.0754,8605,2026-08-29T16:13:59.600777Z,2026-08-29T16:13:43.769868Z,live-web-search-frozen-v1,0.0,,0
25395.498124998994,attempt-52f580ddde0aae8f0cd496c3,1,0,0,cs-f61b3d4e90089c1b890c23cb,not_reconciled_admin_key_not_required,covered_by_local_corpus,0.0,,,rag_vs_web_main,200,16070,6000,6,gpt55_medium,0.13504,278.0,True,1823,False,openai-public-prices-2026-08-29-v2-cap-500,rag-vs-web-common-task-v1,rag-vs-web-1.1.0,2026-08-29T16:13:17Z,0,5b0734a147aee15a0c9212e33b3e1d69d13aadffe5c43a0bcbb4cbd75b57b580,study-q-003,11,medium,780,,1_primary,gpt-5.5-2026-04-23,phase1-hybrid-rrf-bridge-frozen-v1,0.0,0,False,gpt-5.5-2026-04-23,rag-vs-web-1.1.0:1_primary:study-q-003:gpt55_medium:WEB,"{""temperature"": ""not_set"", ""top_logprobs"": ""not_set"", ""top_p"": ""not_set""}",api-attempt-1.1.0,rag-vs-web-response-v1,,default,default,0.16504,False,True,WEB,medium,15224.817482056096,0.16504,17893,2026-08-29T16:13:43.288064Z,2026-08-29T16:13:17.892914Z,live-web-search-frozen-v1,0.03,7035.917908069678,3
