question_id,coverage_stratum,model_config_id,system_arm,pair_complete,answer_status_agreement,claim_exact_set_jaccard,recommendation_exact_set_jaccard,answer_token_cosine_similarity,answer_token_set_jaccard,source_ref_jaccard,evidence_allowlist_jaccard,absolute_token_difference,absolute_cost_difference_usd,absolute_end_to_end_difference_ms,clinical_rating_agreement
study-q-001,covered_by_local_corpus,gpt55_medium,RAG,True,True,0.25,0.3333333333333333,0.8970852271450604,0.8125,1.0,1.0,204,0.0061200000000000004,3647.645869059488,
study-q-001,covered_by_local_corpus,gpt55_medium,WEB,True,True,0.0,0.0,0.4923659639173309,0.3118279569892473,0.3333333333333333,1.0,118,0.0017150000000000082,2736.5348138846457,
study-q-001,covered_by_local_corpus,gpt56_sol_high,RAG,True,True,0.0,0.0,0.643267520902677,0.48,1.0,1.0,139,0.0027799999999999978,1195.2543349470943,
study-q-001,covered_by_local_corpus,gpt56_sol_high,WEB,True,True,0.0,0.0,0.6089555921409988,0.45588235294117646,1.0,1.0,10,0.004023999999999986,6626.369100995362,
study-q-002,covered_by_local_corpus,gpt55_medium,RAG,True,True,0.0,0.0,0.8119566503609439,0.49635036496350365,1.0,1.0,296,0.008879999999999992,4108.832911006175,
study-q-002,covered_by_local_corpus,gpt55_medium,WEB,True,True,0.0,0.0,0.3682002176496948,0.1523809523809524,0.125,1.0,7553,0.061915,2443.3971379185095,
study-q-002,covered_by_local_corpus,gpt56_sol_high,RAG,True,True,0.0,0.0,0.7128324356402512,0.4,1.0,1.0,152,0.003039999999999994,113.52540098596364,
study-q-002,covered_by_local_corpus,gpt56_sol_high,WEB,True,False,0.0,0.0,0.45456864504849487,0.2647058823529412,0.3333333333333333,1.0,2893,0.022307999999999995,49382.4087488465,
study-q-003,covered_by_local_corpus,gpt55_medium,RAG,True,True,0.0,0.0,0.5629357072154726,0.2976190476190476,0.5,1.0,33,0.0009899999999999909,2047.9590179165825,
study-q-003,covered_by_local_corpus,gpt55_medium,WEB,True,True,0.0,0.0,0.6503168875751204,0.27419354838709675,0.3333333333333333,1.0,3988,0.05050099999999999,148.24349305126816,
study-q-003,covered_by_local_corpus,gpt56_sol_high,RAG,True,True,0.0,0.0,0.6274643827392025,0.36486486486486486,0.5,1.0,112,0.002239999999999999,6744.278941070661,
study-q-003,covered_by_local_corpus,gpt56_sol_high,WEB,True,True,0.0,0.0,0.46371301675148385,0.25675675675675674,1.0,1.0,7512,0.007856000000000002,23001.331531093456,
study-q-004,covered_by_local_corpus,gpt55_medium,RAG,True,True,0.0,0.0,0.6010456961122183,0.3707865168539326,0.6666666666666666,1.0,144,0.0043199999999999975,1957.4924778426066,
study-q-004,covered_by_local_corpus,gpt55_medium,WEB,True,True,0.0,0.0,0.5808764218122624,0.2840909090909091,0.6666666666666666,1.0,879,0.00329500000000002,3556.777055026032,
study-q-004,covered_by_local_corpus,gpt56_sol_high,RAG,True,True,0.0,0.0,0.6043062753519708,0.28125,1.0,1.0,12,0.00023999999999999716,1658.9615440461785,
study-q-004,covered_by_local_corpus,gpt56_sol_high,WEB,True,True,0.0,0.0,0.4625814705807568,0.24342105263157895,0.2,1.0,5769,0.03326800000000002,22951.748788007535,
study-q-005,covered_by_local_corpus,gpt55_medium,RAG,True,True,0.0,0.0,0.8185874846865605,0.6111111111111112,1.0,1.0,146,0.040092,2504.122830927372,
study-q-005,covered_by_local_corpus,gpt55_medium,WEB,True,False,0.0,0.0,0.4070318339812006,0.13934426229508196,0.3333333333333333,1.0,11337,0.02993499999999999,6831.460746121593,
study-q-005,covered_by_local_corpus,gpt56_sol_high,RAG,True,True,0.0,0.0,0.6847623832623259,0.4418604651162791,1.0,1.0,74,0.038839,947.1312608802691,
study-q-005,covered_by_local_corpus,gpt56_sol_high,WEB,True,False,0.0,0.0,0.3201349018256039,0.125,0.0,1.0,63,0.005257799999999979,21078.98036087863,
study-q-006,covered_by_local_corpus,gpt55_medium,RAG,True,True,0.0,0.0,0.6046195580650648,0.3763440860215054,1.0,1.0,131,0.003930000000000003,417.6418859278783,
study-q-006,covered_by_local_corpus,gpt55_medium,WEB,True,True,0.0,0.0,0.5008244028681618,0.21052631578947367,0.0,1.0,23414,0.14685900000000002,10911.567535949871,
study-q-006,covered_by_local_corpus,gpt56_sol_high,RAG,True,True,0.0,0.0,0.7579367289598671,0.45714285714285713,1.0,1.0,122,0.0024399999999999977,315.5586139764637,
study-q-006,covered_by_local_corpus,gpt56_sol_high,WEB,True,True,0.0,0.0,0.7092430248560473,0.44954128440366975,1.0,1.0,306,0.015582399999999968,11267.03984499909,
